Kanji,Kana,English,Romaji
伴う,ともなう,to accompany; to involve; to be accompanied by,tomonau  
採用,さいよう,recruitment; adoption; employment,saiyou  
処理,しょり,processing; treatment; disposal,shori  
解決,かいけつ,solution; resolution; settlement,kaiketsu  
全国,ぜんこく,nationwide; entire country,zenkoku  
作業,さぎょう,work; operation; task,sagyou  
生産,せいさん,production; manufacture,seisan  
管理,かんり,management; administration,kanri  
増加,ぞうか,increase; addition; growth,zouka  
特徴,とくちょう,feature; characteristic,tokuchou  
強調,きょうちょう,emphasis; stress,kyoucho  
制度,せいど,system; institution; organization; regulation,seido  
株,かぶ,stock; share,kabu  
加える,くわえる,to add; to include,kuaeru  
強化,きょうか,reinforcement; strengthening; enhancement; intensification,kyouka  
設計,せっけい,design; plan; layout; drafting; construction,sekkei  
段階,だんかい,stage; phase; level; step; grade,dankai  
行う,おこなう,to do; to carry out; to perform,okonau  
経済,けいざい,economy; economics; business; finance,keizai  
工場,こうじょう,factory; plant; workshop,koujou  
技術,ぎじゅつ,technology; skill; technique; engineering,gijutsu  
施設,しせつ,facility; institution; establishment; amenities,shisetsu  
神,かみ,god; deity; divine,kami  
人口,じんこう,population;jinkou  
党,とう,party (political); faction,tou  
輸入,ゆにゅう,import,yunyuu  
煮る,にる,to boil; to simmer; to cook; to stew,niru  
コンサート,コンサート,concert; musical performance,konsaato  
ガソリン,ガソリン,gasoline; petrol,gasorin  
パンツ,パンツ,pants; underwear; shorts,pantsu  
そっくり,そっくり,look alike; identical; resembling,sokkuri  
名刺,めいし,business card; name card,meishi  
いちいち,いちいち,every time; one by one,ichiichi  
しつこい,しつこい,persistent; annoying; insistent,shitsukoi  
喉,のど,throat;nodo  
身長,しんちょう,height (of a person),shinchou  
何で,なんで,why; how; for what reason,nande  
味噌,みそ,miso (fermented soybean paste),miso  
気の毒,きのどく,sympathy; pity; compassion,kinodoku  
そっと,そっと,quietly; gently;sotto  
こっそり,こっそり,secretly; stealthily,kossori  
うっかり,うっかり,carelessly; thoughtlessly; absentmindedly,ukkari  
わざと,わざと,on purpose; intentionally,wazato  
がっかり,がっかり,disappointed; discouraged,gakkari  
ぼんやり,ぼんやり,vaguely; absent-mindedly; faintly; dully,bonyari  
酢,す,vinegar; acid,su  
羨ましい,うらやましい,envious; jealous;羨ましい,urayamashii  
捕まえる,つかまえる,to catch; to arrest; to capture,tsukamaeru  
ちっとも,ちっとも,not at all; none (used with negative),chittomo  
親指,おやゆび,thumb; big toe,oyayubi  
通り過ぎる,とおりすぎる,to pass by; to go past,toorisugiru  
屋上,おくじょう,roof top; roof,okujou  
蓋,ふた,lid; cover,futa  
いつの間にか,いつのまにか,without noticing; before one knows it,itsunomanika  
象,ぞう,elephant,zou  
嫌がる,いやがる,to dislike; to refuse; to be unwilling,iyagaru  
わがまま,わがまま,selfishness; willfulness; selfish,wagamama  
徹夜,てつや,all night; sleepless night; staying up all night,tetsuya  
まあまあ,まあまあ,so-so; not bad; acceptable; mediocre,maama  
ふざける,ふざける,to joke; to fool around; to make fun, fuzakeru  
一度に,いちどに,at once; all at once; in one go,ichidoni  
頷く,うなずく,to nod (one's head); to agree,unazuku  
改札,かいさつ,ticket gate; ticket checking,kaisatsu  
手伝い,てつだい,help; assistance; aid,tetsudai  
とっくに,とっくに,long ago; already;tookuni  
洗剤,せんざい,detergent; washing powder; soap,senzai  
手首,てくび,wrist,tekubi  
日帰り,ひがえり,day trip; going and returning in one day,higaeri  
取り消す,とりけす,to cancel; to revoke; to call off,torikesu  
あきれる,あきれる,to be shocked; to be astounded; to be amazed,akireru  
月末,げつまつ,end of the month,getsumatsu  
咳,せき,cough,seki  
あいにく,あいにく,unfortunately; sorry to say; regrettably,ainiku  
近寄る,ちかよる,to approach; to get close,tokayoru  
うろうろ,うろうろ,wander; roam; loiter; stroll,urouro  
重たい,おもたい,heavy; weighty; grave; serious,omotai  
かじる,かじる,to bite; to gnaw; to nibble, kajiru  
長引く,ながびく,to be prolonged; to drag on,nagabiku  
せっせと,せっせと,diligently; industriously; hard at work,sesseto  
横切る,よこぎる,to cross; to traverse,yokogiru  
取り替える,とりかえる,to exchange; to replace;torekaeru  
からかう,からかう,to tease; to make fun of; to mock,karakau  
好き嫌い,すききらい,picky; likes and dislikes,sukikirai  
蒸し暑い,むしあつい,humid; hot and muggy,mushiatsui  
支度,したく,preparation; arrangements; getting ready; attire,shitaku  
薄暗い,うすぐらい,dark; dim; gloomy,usugurai  
着替え,きがえ,change of clothes;kigae  
ワンピース,わんぴーす,one-piece (dress),wanpiisu  
生年月日,せいねんがっぴ,date of birth,seinengappi  
虫歯,むしば,tooth decay; cavity;mushiba  
留守番,るすばん,house-sitting; looking after the house; staying home,rusuban  
張り切る,はりきる,to be enthusiastic; to be eager; to be energetic,harikiru  
意地悪,いじわる,mean-spirited; malicious; ill-natured,ijiwaru  
生意気,なまいき,impertinent; cheeky; arrogant; sassy,namaiki  
シーツ,しーつ,sheets (bed),shiitsu  
フライパン,ふらいぱん,frying pan,furaipan  
一人一人,ひとりひとり,one by one; each person,ひとりひとり  
話し掛ける,はなしかける,to speak to; to address; to talk to,hanashikakeru  
追い掛ける,おいかける,to chase; to pursue,oikakeru  
小指,こゆび,little finger; pinky,ko-yubi  
ぴかぴか,ぴかぴか,shiny; sparkling; glittering,pikapika  
中指,なかゆび,ring finger; middle finger,nakayubi  
まぶた,まぶた,eyelid,mabuta  
面倒臭い,めんどうくさい,troublesome; bothersome; annoying,mendoukusai  
ゆでる,ゆでる,to boil (in water); to cook (in hot water),yuderu  
できるだけ,できるだけ,as much as possible; if possible,dekirudake  
もしかしたら,もしかしたら,perhaps; maybe; by any chance,moshikashitara  
いつまでも,いつまでも,forever; for a long time; as long as,itsumademo  
まぶしい,まぶしい,blinding; dazzling;mabushii  
おやつ,おやつ,snack; afternoon treat; light meal,oyatsu  
空っぽ,からっぽ,empty; vacant; hollow; nothing in it,karappo  
ぶつぶつ,ぶつぶつ,complaining; murmuring; muttering,butsubutsu  
すっと,すっと,smoothly; straight; instantly,sutto  
図々しい,ずうずうしい,impudent; shameless; rude; cheeky,zuzushii  
にっこり,にっこり,smilingly; with a smile; cheerfully,nikori  
けち,けち,stingy; cheap;ketchi  
追い付く,おいつく,to catch up; to reach; to overtake,oitsuku  
くしゃみ,くしゃみ,sneeze,kushami  
冷ます,さます,to cool down; to let cool,samasu  
だらしない,だらしない,sloppy; untidy; messy; lazy; disorganized,tarashinai  
甘やかす,あまやかす,to spoil (a child); to indulge,amayakasu  
いらいら,いらいら,feeling irritated; feeling impatient; being frustrated,iraira  
薬指,くすりゆび,ring finger; 4th finger,kusuriyubi  
のろのろ,のろのろ,slowly; sluggishly; slowly moving,noronoro  
ポイント,ぽいんと,point (score; location; etc.),pointo  
工業,こうぎょう,industry; manufacturing,kougyou  
構造,こうぞう,structure; construction;kouzou  
さすが,さすが,as expected; just as one would expect; admirable,sasuga  
居眠り,いねむり,napping; dozing,inemuri  
散らかす,ちらかす,to scatter; to clutter; to mess up,chirakasu  
濡らす,ぬらす,to wet; to soak; to dampen,nurasu  
日にち,ひにち,date; days; time (specific day),hinichi  
苛める,いじめる,to bully; to tease; to torment,ijimeru  
足下,あしもと,footing; step; at one's feet; one’s steps,ashimoto  
うさぎ,うさぎ,rabbit; hare,usagi  
紺,こん,navy blue;konn  
目茶苦茶,めちゃくちゃ,chaotic; messy; absurd; terrible; very,mechakucha  
立ち入り禁止,たちいりきんし,no entry; restricted area,tachiirikinshi  
間もなく,まもなく,soon; before long; in a short time,manonaku  
通帳,つうちょう,bankbook; passbook,tsuuchou  
しびれる,しびれる,to become numb; to feel a tingling sensation; to go to sleep (limb),shibireru  
ぎっしり,ぎっしり,tightly; packed; full,ぎっしり  
うがい,うがい,gargling; rinsing one's mouth,ugai  
思い付く,おもいつく,to think of; to come up with; to devise,omoitsuku  
宛名,あてな,addressee; name on an envelope,atena  
戸棚,とだな,cabinet; cupboard,todana  
焦げる,こげる,to burn; to get scorched,kogeru  
かく,かく,to scratch; to write (informally); to brush against,kaku  
威張る,いばる,to boast; to be arrogant; to act high and mighty,ibaru  
人混み,ひとごみ,crowd (of people),hitogomi  
ずらり,ずらり,in a row; in line,zurari  
思い切り,おもいきり,with all one’s might; to the fullest,omoikiri  
青白い,あおじろい,pale; sickly pale; ashen,aojiroi  
しゃがむ,しゃがむ,to squat; to crouch,shagamu  
言葉遣い,ことばづかい,language; way of speaking; speech etiquette,kotobazukai  
通り掛かる,とおりかかる,to pass by; to happen to pass by,toorikakaru  
御無沙汰,ごぶさた,long silence (not keeping in touch); not writing,go-busata  
市場,いちば,market,ichiba  
データ,でーた,data,dee-ta  
購入,こうにゅう,purchase; buying,kounyuu  
ビジネス,びじねす,business,bijinesu  
俺,おれ,I; me (masculine; informal),ore  
登録,とうろく,registration; signing up,touroku  
体験,たいけん,personal experience; hands-on experience,taiken  
デザイン,でざいん,design,dezain  
負担,ふたん,burden; load; responsibility,futan  
詳細,しょうさい,details; particulars,shousai  
アップ,あっぷ,up; update; upload,appu  
終了,しゅうりょう,completion; conclusion; end,shuuryou  
ファン,ふぁん,fan,fan  
予想,よそう,expectation; prediction; forecast,yosou  
企画,きかく,planning; project; design;kikaku  
財政,ざいせい,finances; fiscal policy; financial affairs,zaisei  
総合,そうごう,comprehensive; integrated;sougo  
ケース,けーす,case; box; situation,ke-su  
メーカー,めーかー,manufacturer; maker,me-ka  
治療,ちりょう,treatment; therapy,chiryou  
読者,どくしゃ,reader (of books; magazines),dokusha  
職員,しょくいん,staff; employee; worker,shokuin  
世代,せだい,generation; age group,sedai  
視点,してん,point of view; perspective; viewpoint,shiten  
効率,こうりつ,efficiency,kouritsu  
資産,しさん,assets; property; resources; fortune,shisan  
取り組む,とりくむ,to tackle; to engage in; to work on,torikumu  
ルール,るーる,rule; regulation; guideline,ru-ru  
資格,しかく,qualification; credentials; requirements,shikaku  
成果,せいか,results; outcome; achievement,seika  
前提,ぜんてい,premise; assumption; precondition,zentei  
現地,げんち,locality; site; field (location),genchi  
内部,ないぶ,inside; internal; interior,naibu  
所得,しょとく,income; earnings,shotoku  
恋愛,れんあい,romantic love; love affair,renai  
支持,しじ,support; backing; endorsement,shiji  
危機,きき,crisis; emergency,kiki  
マスコミ,ますこみ,media; press; mass communication,masukomi  
証拠,しょうこ,evidence; proof; testimony,shouko  
コーナー,こーなー,corner; section; area; spot,ko-na-  
マーク,まーく,mark; sign; symbol,ma-ku  
減少,げんしょう,decrease; reduction; decline,genshou  
緊急,きんきゅう,emergency; urgent,kinkyuu  
要望,ようぼう,request; demand; wish,youbou  
ストレス,すとれす,stress, sutoresu  
主催,しゅさい,hosting; organization; sponsorship,shusai  
ベスト,べすと,best,besuto  
犠牲,ぎせい,sacrifice; victim,gisei  
暴力,ぼうりょく,violence; force,bouryoku  
赤字,あかじ,deficit; loss; red ink,akaji  
個性,こせい,personality; individuality,kosei  
作戦,さくせん,plan; strategy,sakusen  
ショック,しょっく,shock; impact; surprise,shokku  
アンケート,あんけーと,survey; questionnaire,anke-to  
わざわざ,わざわざ,expressly; doing something deliberately; going out of one’s way,wazawaza  
本気,ほんき,seriousness; earnestness,honki  
悩み,なやみ,problem; worry; trouble,nayami  
上司,じょうし,superior; boss,joushi  
説得,せっとく,persuasion; conviction,settoku  
ブーム,ぶーむ,boom; fad; craze,bu-mu  
体力,たいりょく,physical strength; stamina,tairyoku  
正常,せいじょう,normal; regular; sound,sei jou  
ヒント,ひんと,hint; clue,hinto  
地獄,じごく,hell,jigoku  
後悔,こうかい,regret,koukai  
情熱,じょうねつ,passion; enthusiasm,jounetsu  
驚き,おどろき,surprise; astonishment,odoroki  
ジャンプ,じゃんぷ,jump; leap,jampu  
アルコール,あるこーる,alcohol,aruko-ru  
いい加減,いいかげん,irresponsible; half-hearted; vague,i kagen  
わくわく,わくわく,excitement; thrill; being excited,wakuwaku  
言い訳,いいわけ,excuse; justification,iiwake  
ミュージック,みゅーじっく,music,myu-jikku  
青春,せいしゅん,youth;青春時代 (youthful years),seishun  
あっさり,あっさり,easily; simply; lightly,assari  
焦る,あせる,to hurry; to be impatient; to get flustered,aseru  
柔軟,じゅうなん,flexible; pliable,jun'nan  
タレント,たれんと,talent; celebrity,tare-n-to  
どうにか,どうにか,by some means; somehow; in one way or another,donika  
コンテスト,こんてすと,contest,kontesuto  
もてる,もてる,to be popular (romantically); to be charming,moteru  
デザート,でざーと,dessert,dezato  
クイズ,くいず,quiz,kuizu  
中毒,ちゅうどく,addiction,chuudoku  
ムード,むーど,mood; atmosphere,mu-do  
同情,どうじょう,sympathy; compassion,doujou  
学歴,がくれき,academic background, gakureki  
好調,こうちょう,good condition; favorable,kouchou  
アマチュア,あまちゅあ,amateur,amachua  
炒める,いためる,to fry; to stir-fry,itameru  
カメラマン,かめらまん,photographer; cameraman,kameraman  
問い合わせる,といあわせる,to inquire; to ask (for information),toiawaseru  
しょっちゅう,しょっちゅう,frequently; often,shocchuu  
ロープ,ろーぷ,rope,ro-pu  
ストライキ,すとらいき,strike (work-related); protest,sutoraiki  
パンク,ぱんく,punk; flat tire; broken,panku  
コマーシャル,こまーしゃる,commercial (advertisement),koma-sharu  
チェンジ,ちぇんじ,change,chenji  
待ち合わせ,まちあわせ,meeting; appointment,machi-awase  
時差,じさ,time difference,jisa  
義理,ぎり,obligation; duty; sense of duty,giri  
さっと,さっと,quickly; suddenly;satto  
左利き,ひだりきき,left-handed,hidarikiki  
サボる,さぼる,to skip (work; school; etc.) to slack off,saboru  
だるい,だるい,sluggish; heavy; tired,darui  
ポット,ぽっと,teapot; pot,potto  
レントゲン,れんとげん,X-ray, rentogen  
心強い,こころづよい,reassuring; encouraging,kokoroduyoi  
無駄遣い,むだづかい,wasteful spending; squandering,mudazukai  
バッジ,ばっじ,badge,bajji  
眼科,がんか,ophthalmology; eye clinic,ganka  
履歴書,りれきしょ,resume; CV; personal history, rirekisho  
インフレーション,いんふれーしょん,inflation,infre-shon  
癌,がん,cancer; malignancy,gan  
ぺこぺこ,ぺこぺこ,hungry; bowing in humility; being polite or submissive,pekopko  
嘘つき,うそつき,liar; dishonest person,usotsuki  
おごる,おごる,to treat (someone to something); to pay for (someone's meal or drink),ogoru  
十字路,じゅうじろ,crossroads,jyuujirou  
びっしょり,びっしょり,drenched; soaked,bisshori  
だぶだぶ,だぶだぶ,loose; baggy; too big,dabudabu  
おだてる,おだてる,to flatter; to praise excessively; to tease,odateru  
かかと,かかと,heel,kakato  
ほっと,ほっと,relieved; to be at ease; to feel relieved,hotto  
傷付ける,きずつける,to wound; to hurt; to damage,kizutsukeru  
うつむく,うつむく,to look down; to lower one's head,utsumuku  
前売り券,まえうりけん,advance ticket; presale ticket,maeuriken  
短期,たんき,short term,tanki  
舐める,なめる,to lick; to taste; to treat lightly,nameru  
本日,ほんじつ,today; this day,honjitsu  
業界,ぎょうかい,industry; business sector,gyoukai  
ネットワーク,ねっとわーく,network,nettowa-ku  
弁護士,べんごし,lawyer; attorney,bengoshi  
入力,にゅうりょく,entry; input,nyuuryoku  
前回,ぜんかい,last time; previous time,zenkai  
画面,がめん,screen; display,gamen  
後半,こうはん,latter half, kouhan  
自信,じしん,confidence,jishin  
素敵,すてき,lovely; wonderful,suteki  
当たり前,あたりまえ,obvious; natural; common sense,atarimae  
やり方,やりかた,way of doing; method; manner,yarikata  
わずか,わずか,only; mere; small,wazuka  
ついに,ついに,eventually; at last; finally,tsuini  
次回,じかい,next time,jikai  
スピード,すぴーど,speed,supi-do  
バイト,ばいと,part-time job,baito  
不可能,ふかのう,impossible,fukanou  
アドバイス,あどばいす,advice,adobaisu  
落ち着く,おちつく,to calm down; to settle down,ochitsuku  
せっかく,せっかく,with much trouble; specially; deliberately,sekakku  
つい,つい,unintentionally; by mistake; absent-mindedly,tsui  
大手,おおて,large company; major firm; big business,oute  
部長,ぶちょう,department head; director,buchou  
前半,ぜんはん,first half; first part,zenhan  
たまたま,たまたま,by chance; accidentally,tamatama  
相変わらず,あいかわらず,as usual; as ever,aikawarazu  
支払い,しはらい,payment; paying; settlement,shiharai  
人数,にんずう,number of people; headcount,ninzuu  
課長,かちょう,section chief; department head,kachou  
ファッション,ふぁっしょん,fashion,fasshon  
体調,たいちょう,physical condition, tai-chou  
付き合う,つきあう,to associate with; to date; to keep company,tsukiau  
ショッピング,しょっぴんぐ,shopping,shoppingu  
あり,あり,existing; being present; with,ari  
最悪,さいあく,the worst; terrible; disastrous,saiaku  
かえる,かえる,to return; to go back; to change; to exchange,kaeru  
おじさん,おじさん,uncle; middle-aged man; gentleman,ojisan  
得,え,profit; gain; advantage,toku  
掴む,つかむ,to grab; to seize; to take hold of,tsukamu  
知り合い,しりあい,acquaintance; friend; someone you know,shiria-i  
ペース,ぺーす,pace,pe-su  
作成,さくせい,creation; making; production,sakusei  
親子,おやこ,parent and child,oyako  
話し合い,はなしあい,discussion; talk; consultation,hanashiai  
本社,ほんしゃ,headquarters,honsha  
打ち合わせ,うちあわせ,meeting; discussion; preparation; appointment,uchi-awase  
見守る,みまもる,to watch over; to guard; to watch attentively,mimamoru  
売り上げ,うりあげ,sales; revenue,uriage  
かえって,かえって,on the contrary; rather,kaette  
アイドル,あいどる,idol,aidoru  
何となく,なんとなく,for some reason; vaguely,nantonaku  
年末,ねんまつ,end of the year,nematsu  
無意識,むいしき,unconscious; subconscious,muishiki  
駅前,えきまえ,in front of the station,ekimae  
やって来る,やってくる,to come; to arrive,yatte kuru  
キッチン,きっちん,kitchen,kicchin  
キス,きす,kiss,kisu  
慌てる,あわてる,to be flustered; to be in a hurry,awateru  
都内,とない,within the city; in Tokyo; metropolitan area,tonai  
残業,ざんぎょう,overtime work,zangyou  
曖昧,あいまい,vague; ambiguous;aima  
カタログ,かたろぐ,brochure; catalog,katarogu  
殴る,なぐる,to hit; to strike, naguru  
両手,りょうて,both hands,ryoute  
仲良く,なかよく,get along well, nakayoku  
始め,はじめ,beginning,hajime  
知り合う,しりあう,to get acquainted with; to meet; to know each other,shiri-au  
お手伝い,おてつだい,help; assistance; aid,otetsudai  
マナー,まなー,manner; etiquette; manners,ma-na  
カラオケ,からおけ,karaoke,karoke  
二度と,にどと,never again; not again,nido to  
片手,かたて,one hand; one arm,kate  
おばさん,おばさん,aunt; middle-aged woman; woman of one's parent's age,obasan  
保育園,ほいくえん,nursery school; daycare,hōikuen  
ずれる,ずれる,to slip; to deviate; to shift,zureru  
ビーチ,びーち,beach,bi-chi  
せいぜい,せいぜい,at most; at best; only,seizei  
後期,こうき,later period; latter term,kouki  
エアコン,えあこん,air conditioner,ea-kon  
ゆったり,ゆったり,relaxed; spacious, yuttari  
ハードウェア,はーどううぇあ,hardware,ha-douwea  
リクエスト,りくえすと,request,rikuesuto  
翌年,よくねん,next year,yokunen  
キャンセル,きゃんせる,cancel; cancellation,kyanseru  
車内,しゃない,inside the vehicle; on board; car interior,shanai  
大声,おおごえ,loud voice; shouting; scream,oogoe  
無責任,むせきにん,irresponsible,musekinin  
片方,かたほう,one side; one part; one of two,katahou  
ボリューム,ぼりゅーむ,volume; amount; volume control,boryu-mu  
前方,ぜんぽう,front; forward; ahead,zenpou  
日本酒,にほんしゅ,Japanese sake,nihonshu  
青空,あおぞら,blue sky,aosora  
不自然,ふしぜん,unnatural,fushizen  
昨晩,さくばん,last night,sakuban  
市役所,しやくしょ,city hall,shiyakusho  
フルーツ,ふるーつ,fruits,furu-tsu  
年々,ねんねん,year by year; every year,nen-nen  
後方,こうほう,back; rear;kouhou  
お詫び,おわび,apology; excuse,owabi  
大根,だいこん,radish; daikon,daikon  
むく,むく,to peel; to strip,muku  
例年,れいねん,usual year; every year; typical year,reinen  
締め切り,しめきり,deadline; closing; cutoff,shimekiri  
正に,まさに,exactly; surely; right; truly,masani  
蛇,へび,snake,hebi  
ラッシュ,らっしゅ,rush; peak hour,rasshu  
大げさ,おおげさ,exaggerated; over the top; extravagant,oogesa  
無理やり,むりやり,forcefully; against one's will,muriyari  
外食,がいしょく,eating out,gaishoku  
キャベツ,きゃべつ,cabbage,kyabetsu  
手足,てあし,hands and feet; limbs,teashi  
閉店,へいてん,closing of a store; shutting down,heiten  
百貨店,ひゃっかてん,department store,hyakkaten  
クッキー,くっきー,cookie,kukkii  
車椅子,くるまいす,wheelchair,kurumaisu  
大雨,おおあめ,heavy rain,ooame  
鳩,はと,pigeon; dove,hato  
中級,ちゅうきゅう,intermediate; middle level,chuukyu  
おにぎり,おにぎり,rice ball,onigiri  
ひょっとしたら,ひょっとしたら,perhaps; maybe,hyottoshitara  
ぐるぐる,ぐるぐる,spirally; around and around,guruguru  
和食,わしょく,Japanese food,washoku  
どく,どく,to poison; to sting,doku  
ウエスト,うえすと,waist,uesuto  
忘年会,ぼうねんかい,end of year party,bounenkai  
包丁,ほうちょう,knife; kitchen knife,houcho  
ゴールデンウィーク,ごーるでんうぃーく,Golden Week,go-rudenwi-ku  
シューズ,しゅーず,shoes,shu-zu  
未成年,みせいねん,minor; underage,miseinen  
甥,おい,nephew,oi  
葉っぱ,はっぱ,leaf,happa  
やり直す,やりなおす,to redo; to start over; to do again,yarinaosu  
大晦日,おおみそか,New Year's Eve,oomisoka  
サングラス,さんぐらす,sunglasses,sangurasu  
病人,びょうにん,sick person,byounin  
顔色,かおいろ,complexion; facial expression; countenance,kaoiro  
金色,きんいろ,golden color,kiniro  
にらむ,にらむ,to glare at; to scowl at,niramu  
つかまる,つかまる,to be caught; to be arrested,tsukamaru  
足首,あしくび,ankle,ashikubi  
散らかる,ちらかる,to be scattered; to be in a mess; to be disorganized,chirakaru  
上がる,あがる,to rise; to go up; to increase,agaru  
かぼちゃ,かぼちゃ,pumpkin,kabocha  
水族館,すいぞくかん,aquarium,suizokukan  
品切れ,しなぎれ,out of stock,shinagire  
腫れる,はれる,to swell; to become inflamed; to bloat,hareru  
やり直し,やりなおし,redo; restart,yarinaoshi  
バーゲン,ばーげん,bargain,ba-gen  
男らしい,おとこらしい,manly; masculine,otokorashii  
近道,ちかみち,shortcut,chikamichi  
トースト,とーすと,toast,to-suto  
好奇心,こうきしん,curiosity,koukishin  
実用的,じつようてき,practical,jitsuyouteki  
客観的,きゃっかんてき,objective (viewpoint),kyakkanteki  
抽象的,ちゅうしょうてき,abstract,chuushouteki  
送別会,そうべつかい,farewell party,soubetsukai  
敷金,しききん,deposit (for rent),shikikin  
日米,にちべい,Japan and the USA,nichibei  
専門家,せんもんか,expert; specialist,senmonka  
ホット,ほっと,hot,hotto  
わさび,わさび,wasabi,wasabi  
初詣,はつもうで,first shrine visit of the year,hatsumoude  
ジョギング,じょぎんぐ,jogging,jogingu  
社会人,しゃかいじん,working adult; member of society,shakaijin  
大急ぎ,おおいそぎ,hurry; rush,oiyoshi  
セルフサービス,せるふさーびす,self-service,serufusa-bisu  
くしゃくしゃ,くしゃくしゃ,wrinkled; messy;knotty,kushakusha  
食パン,しょくぱん,loaf of bread,shokupan  
人差し指,ひとさしゆび,index finger,hitofashiyubi  
洋食,ようしょく,Western food,youshoku  
じめじめ,じめじめ,damp; humid,jimejime  
じろじろ,じろじろ,to stare at,jirojiro  
つるつる,つるつる,smooth; slippery; shiny,tsurutsuru  
こしょう,こしょう,pepper (seasoning),koshou  
びしょびしょ,びしょびしょ,soaked; drenched,bishobisho  
ぎゅうぎゅう,ぎゅうぎゅう,tight; cramped; full,gyuugyu  
バツ,ばつ,mark; punishment; penalty,batsu  
水色,みずいろ,light blue,mizuiro  
領収書,りょうしゅうしょ,receipt,ryoushuusho  
自然に,しぜんに,naturally; spontaneously,shizenni  
とんかつ,とんかつ,tonkatsu (breaded deep-fried pork cutlet),tonkatsu  
ねぎ,ねぎ,green onion; leek,negi  
きゅうり,きゅうり,cucumber,kyuuri  
鰻,うなぎ,eel,unagi  
まぐろ,まぐろ,tuna,maguro  
パイナップル,ぱいなっぷる,pineapple,painappuru  
ほうれん草,ほうれんそう,spinach,hourensou  
マヨネーズ,まよねーず,mayonnaise,mayone-zu  
玉ねぎ,たまねぎ,onion,tamanegi  
焼き肉,やきにく,yakiniku (grilled meat),yakiniku  
目薬,めぐすり,eye drops,megusuri  
寝過ごす,ねすごす,to oversleep,nesugosu  
国際的,こくさいてき,international,kokusai-teki  
国際化,こくさいか,internationalization,kokusai-ka  
区役所,くやくしょ,ward office,kuyakusho  
和室,わしつ,Japanese-style room,washitsu  
本格的,ほんかくてき,full-scale; genuine,honkakuteki  
高速道路,こうそくどうろ,expressway,kousoku-douro  
とりあえず,とりあえず,for now; anyway,toriaezu  
先に,さきに,first; in advance,saki ni  
ぎりぎり,ぎりぎり,just barely; narrowly,girigiri  
慌ただしい,あわただしい,hasty; hurried,awatadashii  
今ごろ,いまごろ,by now; at this time,imagoro  
くっ付く,くっつく,to stick together;kiss,kuttsuku  
北風,きたかぜ,north wind,kita kaze  
海老,えび,shrimp,ebi  
思い切って,おもいきって,determinedly; boldly,omoikitte  
はっと,はっと,suddenly; startled,hatto  
宛先,あてさき,addressee; destination,atesaki  
ばらばら,ばらばら,scattered; in pieces,barabara  
乗車券,じょうしゃけん,ticket (for riding),joushaken  
ぶるぶる,ぶるぶる,trembling; shivering,buruburu  
すらすら,すらすら,fluently;smoothly,surasura  
終電,しゅうでん,last train,shuuden  
ずるい,ずるい,cheating; unfair,zurui  
すやすや,すやすや,soundly (asleep),suyasuya  
がたがた,がたがた,rattling; clattering,gatabata  
非常口,ひじょうぐち,emergency exit,hijouguchi  
ざらざら,ざらざら,rough; coarse,zarazara  
ぬるぬる,ぬるぬる,slippery; slimy,nurunuru  
女らしい,おんならしい,feminine; womanly,onnarashii  
急用,きゅうよう,urgent business,kyuuyou  
きょろきょろ,きょろきょろ,looking around; glancing,kyorokyoro  
ぐずぐず,ぐずぐず,procrastinating; whining,guzuguzu  
ぽかぽか,ぽかぽか,warm (pleasantly),pokapoka  
洗い物,あらいもの,dishes (to wash),araimono  
かっと,かっと,to flare up; to get angry,katto  
どきっと,どきっと,with a start; startled,dokitto  
乗り遅れる,のりおくれる,to miss (a train; etc.),noriokureru  
くたくた,くたくた,exhausted;knee-deep,kurataku  
すべすべ,すべすべ,smooth; silky,subesube  
にやにや,にやにや,grinning slyly,niyaniya  
あだ名,あだな,nickname,adana  
後片付け,あとかたづけ,cleaning up; tidying up,atokatazuke  
イカ,いか,squid,ika  
うきうき,うきうき,cheerfully; in high spirits,ukiuki  
可愛がる,かわいがる,to fondly care for;kuddle,kaigaru  
餃子,ぎょうざ,gyoza (dumplings),gyoza  
げらげら,げらげら,laughing loudly,geragera  
ごめん,ごめん,sorry,gomen  
明々後日,あさって,day after tomorrow,asaatte  
削減,さくげん,cutback; reduction,sakugen  
贅沢,ぜいたく,luxury,zeitaku  
そのうち,そのうち,eventually; soon,sonouchi  
でこぼこ,でこぼこ,rough; uneven,dekoboko  
手のひら,てのひら,palm of the hand,tenohira  
裸足,はだし,barefoot,hadashi  
べたべた,べたべた,sticky; clingy,betabeta  
眉毛,まゆげ,eyebrows,mayuge  
割り箸,わりばし,disposable chopsticks,waribashi  
日付け,ひづけ,date (of the month),hiduke  
ぴたりと,ぴたりと,precisely; exactly,pitari to  
まな板,まないた,cutting board,manaita  
筆記用具,ひっきようぐ,writing utensils,hikki yougu  
くすぐる,くすぐる,to tickle,kusuguru  
かんかん,かんかん,angry; enraged,kankan  
白線,はくせん,white line,hakusen  
見覚え,みおぼえ,recognition; familiarity,mioboe  
これまで,これまで,until now; so far,core made  
からす,からす,crow,karasu  
噛み付く,かみつく,to bite,kamitsuku  
白菜,はくさい,Chinese cabbage,hakusai  
プロ野球,ぷろやきゅう,professional baseball,puro yakyuu  
かみそり,かみそり,razor,kamisori  
何十,なんじゅう,dozens of,nanjuu  
